Id,Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Size,Year Built,Council Area,Latitude,Longtitude,Region Name
49,Aberfeldie,House,1200000,Passed In,Nelson,2016-11-19,4,2,2,578,2010,Moonee Valley City Council,-37.7614,144.8953,Western Metropolitan
50,Aberfeldie,House,3900000,Sold,Nelson,2016-12-10,4,4,4,670,2010,Moonee Valley City Council,-37.7637,144.8931,Western Metropolitan
51,Aberfeldie,Unit,1160000,Sold,Nelson,2017-02-11,3,2,1,309,2007,Moonee Valley City Council,-37.7642,144.895,Western Metropolitan
52,Aberfeldie,House,1150000,Passed In,Nelson,2017-02-11,4,2,2,578,2010,Moonee Valley City Council,-37.7614,144.8953,Western Metropolitan
53,Aberfeldie,Townhouse,1300000,Sold Prior,Barry Plant,2017-02-25,3,3,1,593,2016,Moonee Valley City Council,-37.7584,144.8968,Western Metropolitan
54,Aberfeldie,House,1646000,Sold,Rendina,2017-03-04,4,3,2,757,1950,Moonee Valley City Council,-37.7606,144.8909,Western Metropolitan
55,Aberfeldie,Unit,380000,Passed In,Brad,2017-03-18,2,1,1,622,1970,Moonee Valley City Council,-37.7557,144.8966,Western Metropolitan
56,Aberfeldie,House,1300000,Sold,Nelson,2017-04-08,3,3,2,240,2013,Moonee Valley City Council,-37.762,144.8916,Western Metropolitan
57,Aberfeldie,House,470000,Sold,Barry Plant,2017-04-08,2,1,1,70,1980,Moonee Valley City Council,-37.7564,144.9043,Western Metropolitan
58,Aberfeldie,House,1740000,Passed In,Nelson,2017-04-29,4,2,2,746,1950,Moonee Valley City Council,-37.7595,144.8993,Western Metropolitan
59,Aberfeldie,House,2905000,Sold,Rendina,2017-05-27,5,3,2,557,2010,Moonee Valley City Council,-37.76181,144.89327,Western Metropolitan
60,Aberfeldie,House,1680000,Sold Prior,Raine,2017-07-22,3,2,2,673,1965,Moonee Valley City Council,-37.76316,144.89799,Western Metropolitan
61,Aberfeldie,Unit,310000,Sold,Brad,2017-07-22,1,1,1,1715,1970,Moonee Valley City Council,-37.75882,144.9027,Western Metropolitan
62,Aberfeldie,House,1436000,Sold,Brad,2017-09-03,4,3,3,511,1922,Moonee Valley City Council,-37.75788,144.90487,Western Metropolitan
63,Aberfeldie,House,1650000,Sold Prior,Barry Plant,2017-09-16,4,2,1,484,1950,Moonee Valley City Council,-37.7609,144.89886,Western Metropolitan
64,Aberfeldie,House,1830000,Sold,Rendina,2017-09-23,5,4,4,730,2014,Moonee Valley City Council,-37.7595,144.89427,Western Metropolitan
65,Aberfeldie,House,2600000,Sold,Nelson,2017-10-21,4,2,4,923,1925,Moonee Valley City Council,-37.75923,144.90527,Western Metropolitan
66,Aberfeldie,House,1905000,Sold Prior,Brad,2017-10-21,4,2,2,797,1930,Moonee Valley City Council,-37.75857,144.89572,Western Metropolitan
67,Aberfeldie,Townhouse,1150000,Sold,Barry Plant,2017-11-11,3,2,1,224,2013,Moonee Valley City Council,-37.7556,144.899,Western Metropolitan
68,Aberfeldie,House,1700000,Passed In,Brad,2017-11-18,4,2,2,734,1950,Moonee Valley City Council,-37.7604,144.891,Western Metropolitan
69,Aberfeldie,House,1825000,Passed In,Nelson,2017-11-18,5,2,2,691,1925,Moonee Valley City Council,-37.756,144.9002,Western Metropolitan
70,Airport West,House,830000,Sold,Barry Plant,2016-04-16,3,1,2,971,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan
71,Airport West,House,725000,Sold Prior,Barry Plant,2016-05-07,6,3,2,976,1980,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan
72,Airport West,Townhouse,450000,Sold,Barry Plant,2016-05-07,2,1,1,110,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan
73,Airport West,House,685000,Sold,Barry Plant,2016-05-22,3,1,1,579,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan
74,Airport West,Townhouse,540000,Sold Prior,Nelson,2016-06-18,2,2,1,161,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan
75,Airport West,Unit,462500,Sold,Barry Plant,2016-07-16,2,1,1,164,2003,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan
76,Airport West,House,675000,Sold,Barry Plant,2016-07-16,2,1,1,612,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan
77,Airport West,House,1042000,Sold,Nelson,2016-07-16,3,2,5,612,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan
78,Airport West,Townhouse,840000,Passed In,Nelson,2016-09-03,3,2,1,303,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan
79,Airport West,Unit,530000,Sold,Nelson,2016-09-10,2,1,1,120,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan
80,Airport West,House,895000,Passed In,Rendina,2016-09-10,3,1,6,1063,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan
81,Airport West,House,773000,Sold,Brad,2016-09-17,5,3,4,531,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan
82,Airport West,Townhouse,700000,Passed In,Brad,2016-10-15,3,2,2,165,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan
83,Airport West,Unit,515000,Sold,Barry Plant,2016-11-07,2,1,1,141,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan
84,Airport West,Townhouse,825000,Sold Prior,Barry Plant,2016-11-19,3,2,1,293,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan
85,Airport West,House,900000,Sold,Harcourts,2016-11-27,4,2,3,628,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan
86,Airport West,Unit,752000,Sold,Nelson,2017-02-11,3,1,1,265,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan
87,Airport West,House,603000,Sold,Nelson,2017-03-04,2,1,1,272,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan
88,Airport West,Townhouse,700000,Sold,Brad,2017-03-04,3,2,2,239,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan
89,Airport West,Unit,500000,Passed In,Barry Plant,2017-03-04,2,1,1,168,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan
90,Airport West,House,810000,Passed In,Barry Plant,2017-03-18,3,3,2,555,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan
91,Airport West,House,715000,Sold,Rendina,2017-03-18,3,2,2,422,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan
92,Airport West,House,872500,Sold,Nelson,2017-04-08,3,1,1,594,1950,Moonee Valley City Council,-37.7203,144.8757,Western Metropolitan
93,Airport West,House,720000,Sold,Brad,2017-04-08,3,2,2,305,2008,Moonee Valley City Council,-37.7284,144.8874,Western Metropolitan
94,Airport West,House,510000,Passed In,Nelson,2017-04-29,3,1,1,488,1960,Moonee Valley City Council,-37.7191,144.8857,Western Metropolitan
95,Airport West,Unit,480000,Passed In,Barry Plant,2017-04-29,2,1,1,128,2009,Moonee Valley City Council,-37.7216,144.8837,Western Metropolitan
96,Airport West,Townhouse,856000,Sold,Barry Plant,2017-05-27,3,2,1,300,2011,Moonee Valley City Council,-37.71917,144.87819,Western Metropolitan
97,Airport West,Townhouse,730000,Sold,Brad,2017-06-17,3,1,2,242,2010,Moonee Valley City Council,-37.72893,144.88859,Western Metropolitan
98,Airport West,Unit,737500,Sold Prior,Brad,2017-06-24,3,2,2,143,2012,Moonee Valley City Council,-37.72967,144.88835,Western Metropolitan
99,Airport West,House,905000,Sold,Jellis,2017-06-24,3,1,2,573,1965,Moonee Valley City Council,-37.72908,144.88327,Western Metropolitan
100,Airport West,House,640000,Sold,Nelson,2017-07-01,3,1,2,219,1960,Moonee Valley City Council,-37.71655,144.88155,Western Metropolitan
101,Airport West,House,961000,Sold,Nelson,2017-07-01,3,1,2,717,1950,Moonee Valley City Council,-37.72274,144.88002,Western Metropolitan
102,Airport West,Unit,670000,Sold,Nelson,2017-07-08,3,1,2,169,2000,Moonee Valley City Council,-37.72752,144.88358,Western Metropolitan
103,Airport West,Unit,454000,Sold,Nelson,2017-07-22,2,1,1,182,1985,Moonee Valley City Council,-37.72158,144.8801,Western Metropolitan
104,Airport West,House,1000001,Sold,Nelson,2017-09-09,3,2,1,697,2017,Moonee Valley City Council,-37.72812,144.88735,Western Metropolitan
105,Airport West,House,850000,Sold,Brad,2017-09-23,3,1,2,551,1950,Moonee Valley City Council,-37.72739,144.88235,Western Metropolitan
106,Airport West,House,790000,Sold,Raine,2017-10-07,3,1,5,536,1980,Moonee Valley City Council,-37.72285,144.87539,Western Metropolitan
107,Airport West,House,730000,Passed In,Nelson,2017-10-14,3,2,1,548,2017,Moonee Valley City Council,-37.72741,144.87919,Western Metropolitan
108,Airport West,House,770000,Passed In,Barry Plant,2017-10-14,3,2,2,616,1960,Moonee Valley City Council,-37.72367,144.87059,Western Metropolitan
109,Airport West,House,805000,Sold,Nelson,2017-10-14,3,1,2,540,1960,Moonee Valley City Council,-37.72459,144.87406,Western Metropolitan
110,Airport West,House,730000,Sold,Barry Plant,2017-10-21,3,1,1,377,1970,Moonee Valley City Council,-37.72313,144.87527,Western Metropolitan
111,Airport West,House,926000,Sold,Nelson,2017-10-21,3,1,2,614,1960,Moonee Valley City Council,-37.71757,144.88228,Western Metropolitan
112,Airport West,House,965000,Passed In,Nelson,2017-10-28,4,2,1,730,1950,Moonee Valley City Council,-37.7204,144.87419,Western Metropolitan
113,Airport West,House,870000,Passed In,Barry Plant,2017-10-28,6,3,2,976,1980,Moonee Valley City Council,-37.72394,144.87348,Western Metropolitan
114,Airport West,House,845000,Sold,Barry Plant,2017-10-28,3,3,3,612,1970,Moonee Valley City Council,-37.72483,144.87087,Western Metropolitan
115,Airport West,House,776000,Sold,Nelson,2017-12-09,3,2,2,190,2012,Moonee Valley City Council,-37.73026,144.88652,Western Metropolitan
116,Airport West,House,1220000,Sold,Barry Plant,2017-12-09,4,2,5,585,1960,Moonee Valley City Council,-37.72379,144.88391,Western Metropolitan
117,Airport West,House,970000,Sold,Barry Plant,2018-01-06,3,1,2,634,1960,Moonee Valley City Council,-37.72904,144.88259,Western Metropolitan
118,Airport West,House,790000,Passed In,Barry Plant,2018-01-06,4,2,1,585,2015,Moonee Valley City Council,-37.73344,144.88925,Western Metropolitan
119,Airport West,House,1025000,Passed In,Jellis,2018-01-20,5,2,3,764,1980,Moonee Valley City Council,-37.72282,144.88373,Western Metropolitan
120,Airport West,House,975000,Sold,Nelson,2018-03-03,3,2,1,303,2017,Moonee Valley City Council,-37.73174,144.88086,Western Metropolitan
121,Airport West,Townhouse,891000,Sold,Nelson,2018-03-03,3,2,2,314,2017,Moonee Valley City Council,-37.71968,144.87756,Western Metropolitan
122,Albanvale,House,555000,Sold Prior,Sweeney,2017-07-29,3,1,3,566,1980,Brimbank City Council,-37.74306,144.76679,Western Metropolitan
123,Albanvale,House,506000,Sold,hockingstuart,2017-08-19,3,1,2,544,1980,Brimbank City Council,-37.74965,144.77009,Western Metropolitan
124,Albanvale,House,560000,Sold,Barry Plant,2017-11-11,4,1,2,546,1978,Brimbank City Council,-37.744,144.7672,Western Metropolitan
125,Albert Park,House,2000000,Passed In,RT,2016-04-16,3,2,1,211,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan
126,Albert Park,House,2100000,Sold Prior,Marshall,2016-04-23,2,1,1,120,1900,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan
127,Albert Park,House,2300000,Sold,Marshall,2016-05-07,4,2,1,153,1880,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan
128,Albert Park,House,980000,Sold,Greg,2016-05-28,2,1,0,79,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan
129,Albert Park,House,2800000,Passed In,Cayzer,2016-06-18,4,3,1,327,1910,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan
130,Albert Park,House,2140000,Sold,Greg,2016-06-27,3,2,1,183,1880,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan
131,Albert Park,House,985000,Sold,Marshall,2016-07-30,1,1,0,81,1900,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan
132,Albert Park,House,1110000,Sold,Marshall,2016-08-06,1,1,0,147,1900,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan
133,Albert Park,House,1740000,Passed In,Marshall,2016-08-28,3,2,2,147,1890,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan
134,Albert Park,House,1275000,Sold,hockingstuart,2016-09-03,2,1,0,120,1900,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan
135,Albert Park,House,2120000,Sold,Greg,2016-09-10,2,1,1,199,1900,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan
136,Albert Park,House,1800000,Sold,Marshall,2016-09-10,3,2,1,90,1900,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan
137,Albert Park,House,2000000,Passed In,Marshall,2016-09-24,3,1,1,238,1890,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan
138,Albert Park,House,1322500,Sold,Greg,2016-10-15,2,1,0,149,1890,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan
139,Albert Park,House,1562500,Sold,Greg,2016-10-15,2,1,0,141,1890,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan
140,Albert Park,House,1800000,Passed In,Greg,2016-11-07,3,2,1,132,1996,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan
141,Albert Park,House,2615000,Sold,Cayzer,2016-12-10,3,2,1,177,1880,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan
142,Albert Park,House,4735000,Sold,Marshall,2017-02-25,4,2,1,330,1910,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan
143,Albert Park,House,2850000,Passed In,Buxton,2017-03-04,3,2,0,211,1890,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan
144,Albert Park,House,1850000,Sold,Greg,2017-03-04,3,2,0,128,1890,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan
145,Albert Park,House,1436000,Sold,RT,2017-03-04,2,1,0,130,1900,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan
146,Albert Park,House,1900000,Sold,Greg,2017-03-18,3,1,0,209,1900,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan
147,Albert Park,House,3010000,Sold,Greg,2017-03-18,3,2,0,147,1890,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan
148,Albert Park,House,1190000,Sold,RT,2017-04-29,2,1,0,111,1915,Port Phillip City Council,-37.8445,144.9489,Southern Metropolitan
149,Albert Park,House,1700000,Passed In,Greg,2017-05-06,3,1,1,178,1910,Port Phillip City Council,-37.8473,144.9495,Southern Metropolitan
150,Albert Park,House,2150000,Sold,Marshall,2017-05-20,3,1,1,163,1890,Port Phillip City Council,-37.8473,144.955,Southern Metropolitan
151,Albert Park,House,1505000,Sold,Cayzer,2017-05-27,3,1,1,149,1890,Port Phillip City Council,-37.84587,144.94828,Southern Metropolitan
152,Albert Park,House,2500000,Passed In,Greg,2017-06-03,3,2,1,165,1890,Port Phillip City Council,-37.84152,144.95027,Southern Metropolitan
153,Albert Park,Unit,685000,Passed In,Greg,2017-06-24,2,1,0,324,1930,Port Phillip City Council,-37.84469,144.95578,Southern Metropolitan
154,Albert Park,House,1535000,Sold,Greg,2017-07-01,2,1,0,171,1900,Port Phillip City Council,-37.8481,144.9566,Southern Metropolitan
155,Albert Park,House,2340000,Sold,Greg,2017-08-26,3,2,1,162,1880,Port Phillip City Council,-37.84398,144.95044,Southern Metropolitan
156,Albert Park,House,1330000,Sold,Marshall,2017-10-14,2,1,0,122,1890,Port Phillip City Council,-37.84588,144.95559,Southern Metropolitan
157,Albert Park,House,3600000,Passed In,Greg,2017-10-14,4,3,1,177,1890,Port Phillip City Council,-37.84787,144.95333,Southern Metropolitan
158,Albert Park,House,3000000,Passed In,Marshall,2017-11-11,6,3,2,156,2011,Port Phillip City Council,-37.8433,144.9457,Southern Metropolitan
159,Albion,House,765000,Sold After Auction,Barry Plant,2016-02-04,2,1,2,672,1958,Brimbank City Council,-37.7812,144.8121,Western Metropolitan
160,Albion,House,600000,Sold Prior,Barry Plant,2016-05-22,2,1,1,534,1950,Brimbank City Council,-37.7795,144.8204,Western Metropolitan
161,Albion,House,600000,Passed In,Sweeney,2016-05-22,3,1,1,697,1928,Brimbank City Council,-37.7842,144.8175,Western Metropolitan
162,Albion,House,593000,Sold Prior,Sweeney,2016-06-04,3,2,2,605,1965,Brimbank City Council,-37.7792,144.8117,Western Metropolitan
163,Albion,Unit,185000,Sold,hockingstuart,2016-08-22,1,1,1,2347,1975,Brimbank City Council,-37.7852,144.8272,Western Metropolitan
164,Albion,House,670000,Sold,Barry Plant,2016-10-15,2,1,2,697,1950,Brimbank City Council,-37.7835,144.8176,Western Metropolitan
165,Albion,House,840000,Sold,Barry Plant,2016-11-27,3,1,0,697,1920,Brimbank City Council,-37.7809,144.8228,Western Metropolitan
166,Albion,Townhouse,300000,Passed In,FN,2017-02-11,2,1,1,74,1970,Brimbank City Council,-37.7836,144.8256,Western Metropolitan
167,Albion,Unit,560000,Sold,Douglas,2017-02-25,3,2,7,420,1970,Brimbank City Council,-37.7848,144.8231,Western Metropolitan
168,Albion,House,730000,Sold,hockingstuart,2017-03-04,3,2,3,628,1960,Brimbank City Council,-37.7801,144.8121,Western Metropolitan
169,Albion,Unit,580000,Passed In,Douglas,2017-05-13,3,2,2,250,2013,Brimbank City Council,-37.7798,144.8156,Western Metropolitan
170,Albion,Unit,200000,Passed In,FN,2017-05-20,1,1,1,1175,1970,Brimbank City Council,-37.7849,144.8272,Western Metropolitan
171,Albion,Unit,600000,Sold After Auction,Douglas,2017-05-20,3,1,1,181,2000,Brimbank City Council,-37.7815,144.8128,Western Metropolitan
172,Albion,Unit,600000,Sold After Auction,Douglas,2017-05-27,3,2,2,247,2013,Brimbank City Council,-37.77976,144.81559,Western Metropolitan
173,Albion,House,787000,Sold,hockingstuart,2017-06-03,3,1,3,716,1955,Brimbank City Council,-37.77917,144.81407,Western Metropolitan
174,Albion,House,570000,Sold,Barry Plant,2017-07-01,3,1,0,423,1920,Brimbank City Council,-37.77917,144.82223,Western Metropolitan
175,Albion,Townhouse,580000,Passed In,Douglas,2017-07-29,3,2,2,175,2014,Brimbank City Council,-37.77856,144.82443,Western Metropolitan
176,Albion,House,905000,Sold,hockingstuart,2017-09-03,5,2,3,732,1925,Brimbank City Council,-37.78345,144.82295,Western Metropolitan
177,Albion,House,715000,Sold,Sweeney,2017-10-21,3,1,2,638,1960,Brimbank City Council,-37.78089,144.81141,Western Metropolitan
178,Albion,House,655000,Sold,Douglas,2018-02-24,2,1,2,463,1950,Brimbank City Council,-37.78159,144.82373,Western Metropolitan
179,Albion,House,750000,Sold Prior,Ray,2018-03-17,3,1,2,697,1950,Brimbank City Council,-37.77824,144.81604,Western Metropolitan
180,Albion,House,781000,Sold,Barry Plant,2018-03-17,3,2,2,292,2015,Brimbank City Council,-37.77792,144.81678,Western Metropolitan
181,Alphington,House,865000,Sold Prior,hockingstuart,2016-05-22,3,1,1,180,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan
182,Alphington,House,2840000,Sold,Nelson,2016-06-12,5,4,4,809,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan
183,Alphington,House,1950000,Sold,Jellis,2016-07-30,4,2,3,589,1920,Darebin City Council,-37.7719,145.0309,Northern Metropolitan
184,Alphington,House,1110000,Sold,Jellis,2016-09-03,3,2,2,208,2013,Darebin City Council,-37.7854,145.0325,Northern Metropolitan
185,Alphington,House,1717500,Sold,Collins,2016-10-08,4,2,1,599,1925,Darebin City Council,-37.7717,145.031,Northern Metropolitan
186,Alphington,Unit,525500,Sold,Miles,2016-11-12,2,1,1,88,1960,Darebin City Council,-37.7791,145.0306,Northern Metropolitan
187,Alphington,Townhouse,805000,Sold,Miles,2016-11-12,2,2,3,155,2004,Darebin City Council,-37.7804,145.0308,Northern Metropolitan
188,Alphington,House,1830000,Sold,Nelson,2016-11-19,4,2,2,606,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan
189,Alphington,House,2100000,Sold,Nelson,2016-11-19,4,2,2,575,2008,Darebin City Council,-37.7723,145.0319,Northern Metropolitan
190,Alphington,House,1900000,Sold Prior,McGrath,2016-11-27,4,2,2,556,1930,Darebin City Council,-37.7844,145.0225,Northern Metropolitan
191,Alphington,Townhouse,1285000,Passed In,Nelson,2017-05-13,3,2,2,528,1967,Darebin City Council,-37.7817,145.0319,Northern Metropolitan
192,Alphington,House,2220000,Sold,Kay,2017-06-03,4,2,3,580,1930,Darebin City Council,-37.77227,145.0284,Northern Metropolitan
